"unique_id","population_count","measure_id","data_value","short_question_text"
"3651000-36005013000",1032,"ACCESS2",14.1,"Health Insurance"
"3651000-36005013100",5103,"ACCESS2",24.4,"Health Insurance"
"3651000-36005013200",5890,"ACCESS2",12.3,"Health Insurance"
"3651000-36005013300",6384,"ACCESS2",24.6,"Health Insurance"
"3651000-36005013500",3583,"ACCESS2",23.3,"Health Insurance"
"3651000-36005013800",3042,"ACCESS2",11.7,"Health Insurance"
"3651000-36005014100",3437,"ACCESS2",23,"Health Insurance"
"3651000-36005014300",1003,"ACCESS2",26,"Health Insurance"
"3651000-36005014400",5880,"ACCESS2",23.5,"Health Insurance"
"3651000-36005014500",5816,"ACCESS2",28.4,"Health Insurance"
"3651000-36005014701",6461,"ACCESS2",28.5,"Health Insurance"
"3651000-36005014702",5110,"ACCESS2",27.8,"Health Insurance"
"3651000-36005014900",4591,"ACCESS2",25,"Health Insurance"
"3651000-36005015100",5409,"ACCESS2",21.1,"Health Insurance"
"3651000-36005015200",2341,"ACCESS2",15.4,"Health Insurance"
"3651000-36005015300",4031,"ACCESS2",23.4,"Health Insurance"
"3651000-36005015500",3005,"ACCESS2",30.6,"Health Insurance"
"3651000-36005015700",3580,"ACCESS2",25.7,"Health Insurance"
"3651000-36005015800",1206,"ACCESS2",13.3,"Health Insurance"
"3651000-36005015900",2164,"ACCESS2",34.1,"Health Insurance"
"3651000-36005016000",3767,"ACCESS2",10.4,"Health Insurance"
"3651000-36005016100",4380,"ACCESS2",28.4,"Health Insurance"
"3651000-36005016200",1769,"ACCESS2",16.4,"Health Insurance"
"3651000-36005016400",1141,"ACCESS2",13.4,"Health Insurance"
"3651000-36005016500",1077,"ACCESS2",23.8,"Health Insurance"
"3651000-36005016600",2166,"ACCESS2",13.7,"Health Insurance"
"3651000-36005016700",2047,"ACCESS2",24.1,"Health Insurance"
"3651000-36005016900",1663,"ACCESS2",21.8,"Health Insurance"
"3651000-36005017300",5987,"ACCESS2",29.2,"Health Insurance"
"3651000-36005017500",6911,"ACCESS2",25.5,"Health Insurance"
"3651000-36005017701",4294,"ACCESS2",26,"Health Insurance"
"3651000-36005017702",4805,"ACCESS2",24.7,"Health Insurance"
"3651000-36005017901",4677,"ACCESS2",27.5,"Health Insurance"
"3651000-36005017902",3587,"ACCESS2",27.7,"Health Insurance"
"3651000-36005018101",3300,"ACCESS2",24.6,"Health Insurance"
"3651000-36005018102",5555,"ACCESS2",23.4,"Health Insurance"
"3651000-36005018301",4525,"ACCESS2",19.9,"Health Insurance"
"3651000-36005018302",3647,"ACCESS2",24.7,"Health Insurance"
"3651000-36005018400",3855,"ACCESS2",12.7,"Health Insurance"
"3651000-36005018500",7466,"ACCESS2",23.6,"Health Insurance"
"3651000-36005018900",7752,"ACCESS2",27.7,"Health Insurance"
"3651000-36005019300",5461,"ACCESS2",26.5,"Health Insurance"
"3651000-36005019400",1903,"ACCESS2",17.7,"Health Insurance"
"3651000-36005019500",7756,"ACCESS2",24.3,"Health Insurance"
"3651000-36005019700",7501,"ACCESS2",27.9,"Health Insurance"
"3651000-36005019900",8154,"ACCESS2",24.4,"Health Insurance"
"3651000-36005020000",4878,"ACCESS2",21,"Health Insurance"
"3651000-36005020100",4013,"ACCESS2",25.6,"Health Insurance"
"3651000-36005020200",2155,"ACCESS2",22,"Health Insurance"
"3651000-36005020400",2976,"ACCESS2",20.6,"Health Insurance"
"3651000-36005020501",6996,"ACCESS2",23.5,"Health Insurance"
"3651000-36005020502",1764,"ACCESS2",26.6,"Health Insurance"
"3651000-36005020601",3050,"ACCESS2",21.8,"Health Insurance"
"3651000-36005020900",4361,"ACCESS2",22,"Health Insurance"
"3651000-36005021001",8521,"ACCESS2",16,"Health Insurance"
"3651000-36005021002",6839,"ACCESS2",13.6,"Health Insurance"
"3651000-36005021100",5565,"ACCESS2",26.4,"Health Insurance"
"3651000-36005021200",5267,"ACCESS2",13.5,"Health Insurance"
"3651000-36005021301",1201,"ACCESS2",25.8,"Health Insurance"
"3651000-36005021302",5415,"ACCESS2",24.8,"Health Insurance"
"3651000-36005021501",3506,"ACCESS2",23.4,"Health Insurance"
"3651000-36005021502",6051,"ACCESS2",28.2,"Health Insurance"
"3651000-36005021601",4206,"ACCESS2",26.2,"Health Insurance"
"3651000-36005021602",5769,"ACCESS2",17.4,"Health Insurance"
"3651000-36005021700",5334,"ACCESS2",25.8,"Health Insurance"
"3651000-36005021800",6499,"ACCESS2",24.2,"Health Insurance"
"3651000-36005021900",1367,"ACCESS2",26.8,"Health Insurance"
"3651000-36005022000",1487,"ACCESS2",31.8,"Health Insurance"
"3651000-36005022101",3849,"ACCESS2",30.6,"Health Insurance"
"3651000-36005022102",5488,"ACCESS2",33.4,"Health Insurance"
"3651000-36005022200",3425,"ACCESS2",21.2,"Health Insurance"
"3651000-36005022300",5047,"ACCESS2",28.7,"Health Insurance"
"3651000-36005022401",2708,"ACCESS2",19.9,"Health Insurance"
"3651000-36005022403",3188,"ACCESS2",19.4,"Health Insurance"
"3651000-36005022404",4509,"ACCESS2",17.3,"Health Insurance"
"3651000-36005022500",7698,"ACCESS2",30,"Health Insurance"
"3651000-36005022701",5196,"ACCESS2",23.2,"Health Insurance"
"3651000-36005022702",1699,"ACCESS2",23.4,"Health Insurance"
"3651000-36005022703",1556,"ACCESS2",20.7,"Health Insurance"
"3651000-36005022800",6218,"ACCESS2",16.3,"Health Insurance"
"3651000-36005022901",5370,"ACCESS2",25.8,"Health Insurance"
"3651000-36005022902",3273,"ACCESS2",26.7,"Health Insurance"
"3651000-36005023000",2950,"ACCESS2",20.5,"Health Insurance"
"3651000-36005023100",1537,"ACCESS2",30.9,"Health Insurance"
"3651000-36005023200",2661,"ACCESS2",18.4,"Health Insurance"
"3651000-36005023301",4377,"ACCESS2",27.7,"Health Insurance"
"3651000-36005023302",3415,"ACCESS2",32,"Health Insurance"
"3651000-36005023501",3341,"ACCESS2",27.4,"Health Insurance"
"3651000-36005023502",4386,"ACCESS2",29,"Health Insurance"
"3651000-36005023600",1907,"ACCESS2",25.9,"Health Insurance"
"3651000-36005023702",1241,"ACCESS2",27.3,"Health Insurance"
"3651000-36005023703",5253,"ACCESS2",29.2,"Health Insurance"
"3651000-36005023704",3758,"ACCESS2",30.1,"Health Insurance"
"3651000-36005023800",2615,"ACCESS2",21.3,"Health Insurance"
"3651000-36005023900",8348,"ACCESS2",27.8,"Health Insurance"
"3651000-36005024000",3882,"ACCESS2",22.8,"Health Insurance"
"3651000-36005024100",6182,"ACCESS2",28.2,"Health Insurance"
"3651000-36005024300",5685,"ACCESS2",28.1,"Health Insurance"
"3651000-36005024400",2120,"ACCESS2",12.4,"Health Insurance"
"3651000-36005024501",4864,"ACCESS2",28.8,"Health Insurance"
"3651000-36005024502",3640,"ACCESS2",27.9,"Health Insurance"
"3651000-36005024600",2058,"ACCESS2",12.9,"Health Insurance"
"3651000-36005024700",1764,"ACCESS2",19,"Health Insurance"
"3651000-36005024800",3363,"ACCESS2",11.7,"Health Insurance"
"3651000-36005025000",2383,"ACCESS2",11.2,"Health Insurance"
"3651000-36005025100",6802,"ACCESS2",25.4,"Health Insurance"
"3651000-36005025200",2530,"ACCESS2",13.3,"Health Insurance"
"3651000-36005025300",6332,"ACCESS2",25.5,"Health Insurance"
"3651000-36005025400",1959,"ACCESS2",10.6,"Health Insurance"
"3651000-36005025500",6529,"ACCESS2",25.9,"Health Insurance"
"3651000-36005025600",1663,"ACCESS2",19.7,"Health Insurance"
"3651000-36005025700",1912,"ACCESS2",21,"Health Insurance"
"3651000-36005026100",1932,"ACCESS2",10,"Health Insurance"
"3651000-36005026300",6984,"ACCESS2",27.6,"Health Insurance"
"3651000-36005026400",4935,"ACCESS2",12.5,"Health Insurance"
"3651000-36005026500",6942,"ACCESS2",25.9,"Health Insurance"
"3651000-36005026601",2911,"ACCESS2",13.1,"Health Insurance"
"3651000-36005026602",5301,"ACCESS2",16.8,"Health Insurance"
"3651000-36005026701",4037,"ACCESS2",23.2,"Health Insurance"
"3651000-36005026702",7040,"ACCESS2",23.3,"Health Insurance"
"3651000-36005026900",3777,"ACCESS2",22.5,"Health Insurance"
"3651000-36005027300",7942,"ACCESS2",22.4,"Health Insurance"
"3651000-36005027401",4785,"ACCESS2",9.3,"Health Insurance"
"3651000-36005027402",3386,"ACCESS2",10.4,"Health Insurance"
"3651000-36005027600",473,"ACCESS2",12.7,"Health Insurance"
"3651000-36005027700",5065,"ACCESS2",24.6,"Health Insurance"
"3651000-36005027900",6966,"ACCESS2",15.3,"Health Insurance"
"3651000-36005028100",3794,"ACCESS2",11.7,"Health Insurance"
"3651000-36005028300",3149,"ACCESS2",23,"Health Insurance"
"3651000-36005028400",894,"ACCESS2",19.8,"Health Insurance"
"3651000-36005028500",3307,"ACCESS2",11,"Health Insurance"
"3651000-36005028600",1191,"ACCESS2",11.3,"Health Insurance"
"3651000-36005028700",3178,"ACCESS2",16.2,"Health Insurance"
"3651000-36005028800",3097,"ACCESS2",8.7,"Health Insurance"
"3651000-36005028900",4502,"ACCESS2",17.1,"Health Insurance"
"3651000-36005029301",1875,"ACCESS2",5.6,"Health Insurance"
"3651000-36005029302",5052,"ACCESS2",5.9,"Health Insurance"
"3651000-36005029500",4240,"ACCESS2",7.3,"Health Insurance"
"3651000-36005029600",2549,"ACCESS2",9.5,"Health Insurance"
"3651000-36005029700",3554,"ACCESS2",6,"Health Insurance"
"3651000-36005030000",5838,"ACCESS2",12.7,"Health Insurance"
"3651000-36005030100",1304,"ACCESS2",8.2,"Health Insurance"
"3651000-36005030200",8887,"ACCESS2",12,"Health Insurance"
"3651000-36005030701",5378,"ACCESS2",5.5,"Health Insurance"
"3651000-36005030900",3891,"ACCESS2",6.7,"Health Insurance"
"3651000-36005031000",4415,"ACCESS2",13.2,"Health Insurance"
"3651000-36005031200",1524,"ACCESS2",10,"Health Insurance"
"3651000-36005031400",1966,"ACCESS2",11.3,"Health Insurance"
"3651000-36005031600",1863,"ACCESS2",13.4,"Health Insurance"
"3651000-36005031800",1810,"ACCESS2",13.4,"Health Insurance"
"3651000-36005031900",751,"ACCESS2",15.5,"Health Insurance"
"3651000-36005032300",4904,"ACCESS2",6.4,"Health Insurance"
"3651000-36005032400",2957,"ACCESS2",21.6,"Health Insurance"
"3651000-36005032600",3154,"ACCESS2",13.7,"Health Insurance"
"3651000-36005032800",3979,"ACCESS2",21.1,"Health Insurance"
"3651000-36005033000",5696,"ACCESS2",18.9,"Health Insurance"
"3651000-36005033201",4115,"ACCESS2",17.9,"Health Insurance"
"3651000-36005033202",4167,"ACCESS2",20.4,"Health Insurance"
"3651000-36005033400",1351,"ACCESS2",18.3,"Health Insurance"
"3651000-36005033500",2178,"ACCESS2",7.2,"Health Insurance"
"3651000-36005033600",6188,"ACCESS2",20.3,"Health Insurance"
"3651000-36005033700",2357,"ACCESS2",6.6,"Health Insurance"
"3651000-36005033800",3818,"ACCESS2",20.8,"Health Insurance"
"3651000-36005034000",4618,"ACCESS2",20.1,"Health Insurance"
"3651000-36005034200",1675,"ACCESS2",14.4,"Health Insurance"
"3651000-36005034300",1649,"ACCESS2",12.5,"Health Insurance"
"3651000-36005034400",1736,"ACCESS2",15.4,"Health Insurance"
"3651000-36005034500",3566,"ACCESS2",10.3,"Health Insurance"
"3651000-36005034800",6129,"ACCESS2",17.8,"Health Insurance"
"3651000-36005035000",1925,"ACCESS2",14.4,"Health Insurance"
"3651000-36005035100",3186,"ACCESS2",9.3,"Health Insurance"
"3651000-36005035600",2027,"ACCESS2",11.3,"Health Insurance"
"3651000-36005035800",7166,"ACCESS2",11,"Health Insurance"
"3651000-36005035900",2061,"ACCESS2",29.1,"Health Insurance"
"3651000-36005036000",2706,"ACCESS2",13,"Health Insurance"
"3651000-36005036100",6019,"ACCESS2",28.6,"Health Insurance"
"3651000-36005036300",7509,"ACCESS2",30.9,"Health Insurance"
"3651000-36005036400",2557,"ACCESS2",10.6,"Health Insurance"
"3651000-36005036501",3965,"ACCESS2",26,"Health Insurance"
"3651000-36005036502",2423,"ACCESS2",27.7,"Health Insurance"
"3651000-36005036700",2599,"ACCESS2",30.1,"Health Insurance"
"3651000-36005036800",2011,"ACCESS2",15.6,"Health Insurance"
"3651000-36005036901",2005,"ACCESS2",31.7,"Health Insurance"
"3651000-36005036902",2119,"ACCESS2",28.8,"Health Insurance"
"3651000-36005037000",2303,"ACCESS2",15.2,"Health Insurance"
"3651000-36005037100",4241,"ACCESS2",26.1,"Health Insurance"
"3651000-36005037200",2222,"ACCESS2",16,"Health Insurance"
"3651000-36005037300",5318,"ACCESS2",24.3,"Health Insurance"
"3651000-36005037400",3441,"ACCESS2",21.6,"Health Insurance"
"3651000-36005037504",3677,"ACCESS2",28.9,"Health Insurance"
"3651000-36005037600",2148,"ACCESS2",15,"Health Insurance"
"3651000-36005037800",3048,"ACCESS2",19.8,"Health Insurance"
"3651000-36005037900",5093,"ACCESS2",26.6,"Health Insurance"
"3651000-36005038000",4585,"ACCESS2",16.4,"Health Insurance"
"3651000-36005038100",6382,"ACCESS2",25,"Health Insurance"
"3651000-36005038200",2596,"ACCESS2",14.8,"Health Insurance"
"3651000-36005038301",4797,"ACCESS2",27.4,"Health Insurance"
"3651000-36005038302",6106,"ACCESS2",28.1,"Health Insurance"
"3651000-36005038500",4758,"ACCESS2",29.1,"Health Insurance"
"3651000-36005038600",7409,"ACCESS2",13,"Health Insurance"
"3651000-36005038700",3216,"ACCESS2",24.7,"Health Insurance"
"3651000-36005038800",2606,"ACCESS2",12.8,"Health Insurance"
"3651000-36005038900",5325,"ACCESS2",23.2,"Health Insurance"
"3651000-36005039000",2975,"ACCESS2",16.8,"Health Insurance"
"3651000-36005039100",6992,"ACCESS2",26.6,"Health Insurance"
"3651000-36005039200",1781,"ACCESS2",16.3,"Health Insurance"
"3651000-36005039300",8143,"ACCESS2",28.1,"Health Insurance"
"3651000-36005039400",4573,"ACCESS2",19.6,"Health Insurance"
"3651000-36005039500",4146,"ACCESS2",24.8,"Health Insurance"
"3651000-36005039600",3756,"ACCESS2",17.8,"Health Insurance"
"3651000-36005039700",3702,"ACCESS2",15,"Health Insurance"
"3651000-36005039800",3090,"ACCESS2",11.2,"Health Insurance"
"3651000-36005039901",5228,"ACCESS2",27.9,"Health Insurance"
"3651000-36005039902",5279,"ACCESS2",28.5,"Health Insurance"
"3651000-36005040100",4593,"ACCESS2",29.4,"Health Insurance"
"3651000-36005040302",4386,"ACCESS2",28.5,"Health Insurance"
"3651000-36005040303",4478,"ACCESS2",24.9,"Health Insurance"
"3651000-36005040304",3794,"ACCESS2",27.5,"Health Insurance"
"3651000-36005040400",3016,"ACCESS2",12.4,"Health Insurance"
"3651000-36005040501",4397,"ACCESS2",24.5,"Health Insurance"
"3651000-36005040502",6863,"ACCESS2",24.9,"Health Insurance"
"3651000-36005040600",3490,"ACCESS2",15.7,"Health Insurance"
"3651000-36005040701",3347,"ACCESS2",24.3,"Health Insurance"
"3651000-36005040702",6652,"ACCESS2",23.8,"Health Insurance"
"3651000-36005040800",4263,"ACCESS2",18.2,"Health Insurance"
"3651000-36005040900",3637,"ACCESS2",11.7,"Health Insurance"
"3651000-36005041100",2931,"ACCESS2",21.1,"Health Insurance"
"3651000-36005041300",7384,"ACCESS2",20.1,"Health Insurance"
"3651000-36005041400",5027,"ACCESS2",13.3,"Health Insurance"
"3651000-36005041500",5461,"ACCESS2",19.8,"Health Insurance"
"3651000-36005041800",3598,"ACCESS2",17.5,"Health Insurance"
"3651000-36005041900",6734,"ACCESS2",21.1,"Health Insurance"
"3651000-36005042000",3850,"ACCESS2",18.1,"Health Insurance"
"3651000-36005042100",5922,"ACCESS2",23.9,"Health Insurance"
"3651000-36005042200",3086,"ACCESS2",13.4,"Health Insurance"
"3651000-36005042300",4100,"ACCESS2",21.3,"Health Insurance"
"3651000-36005042400",2481,"ACCESS2",13.2,"Health Insurance"
"3651000-36005042500",6793,"ACCESS2",25.1,"Health Insurance"
"3651000-36005042600",6387,"ACCESS2",12.1,"Health Insurance"
"3651000-36005042800",2173,"ACCESS2",11.1,"Health Insurance"
"3651000-36005042901",3420,"ACCESS2",22.8,"Health Insurance"
"3651000-36005042902",3845,"ACCESS2",22.7,"Health Insurance"
"3651000-36005043000",2898,"ACCESS2",12.8,"Health Insurance"
"3651000-36005043100",9680,"ACCESS2",24.2,"Health Insurance"
"3651000-36005043400",3592,"ACCESS2",16.2,"Health Insurance"
"3651000-36005043600",2032,"ACCESS2",11.9,"Health Insurance"
"3651000-36005044200",3555,"ACCESS2",17.1,"Health Insurance"
"3651000-36005044400",3878,"ACCESS2",13.1,"Health Insurance"
"3651000-36005044800",2026,"ACCESS2",10.9,"Health Insurance"
"3651000-36005044901",1818,"ACCESS2",9.5,"Health Insurance"
"3651000-36005044902",1949,"ACCESS2",9.3,"Health Insurance"
"3651000-36005045101",1656,"ACCESS2",8.3,"Health Insurance"
"3651000-36005045102",1894,"ACCESS2",8.7,"Health Insurance"
"3651000-36005045600",2896,"ACCESS2",11.1,"Health Insurance"
"3651000-36005045800",6123,"ACCESS2",24.4,"Health Insurance"
"3651000-36005046000",2741,"ACCESS2",17.1,"Health Insurance"
"3651000-36005046201",26588,"ACCESS2",13,"Health Insurance"
"3651000-36005046202",8277,"ACCESS2",16.8,"Health Insurance"
"3651000-36005048400",3598,"ACCESS2",12.2,"Health Insurance"
"3651000-36005051600",4362,"ACCESS2",7.8,"Health Insurance"
"3651000-36047000100",4338,"ACCESS2",6.5,"Health Insurance"
"3651000-36047000200",1470,"ACCESS2",34.2,"Health Insurance"
"3651000-36047000301",4259,"ACCESS2",6.2,"Health Insurance"
"3651000-36047000501",4247,"ACCESS2",6.5,"Health Insurance"
"3651000-36047000502",2512,"ACCESS2",4.9,"Health Insurance"
"3651000-36047000700",3359,"ACCESS2",4.7,"Health Insurance"
"3651000-36047000900",4172,"ACCESS2",5.2,"Health Insurance"
"3651000-36047001100",84,"ACCESS2",6.2,"Health Insurance"
"3651000-36047001300",2275,"ACCESS2",9.6,"Health Insurance"
"3651000-36047001500",3521,"ACCESS2",11.1,"Health Insurance"
"3651000-36047001800",2105,"ACCESS2",27.2,"Health Insurance"
"3651000-36047002000",1672,"ACCESS2",29.8,"Health Insurance"
"3651000-36047002100",3604,"ACCESS2",5.5,"Health Insurance"
"3651000-36047002200",4613,"ACCESS2",22.9,"Health Insurance"
"3651000-36047002300",4247,"ACCESS2",24.1,"Health Insurance"
"3651000-36047002901",3218,"ACCESS2",24.1,"Health Insurance"
"3651000-36047003000",1730,"ACCESS2",8.7,"Health Insurance"
"3651000-36047003100",2472,"ACCESS2",8.8,"Health Insurance"
"3651000-36047003300",2327,"ACCESS2",8.4,"Health Insurance"
"3651000-36047003400",3047,"ACCESS2",9.6,"Health Insurance"
"3651000-36047003500",1554,"ACCESS2",7.6,"Health Insurance"
"3651000-36047003600",3804,"ACCESS2",8,"Health Insurance"
"3651000-36047003700",390,"ACCESS2",5.9,"Health Insurance"
"3651000-36047003800",1498,"ACCESS2",6.8,"Health Insurance"
"3651000-36047003900",2229,"ACCESS2",6.7,"Health Insurance"
"3651000-36047004100",3598,"ACCESS2",7.4,"Health Insurance"
"3651000-36047004300",3008,"ACCESS2",6.3,"Health Insurance"
"3651000-36047004400",2359,"ACCESS2",5.7,"Health Insurance"
"3651000-36047004500",3325,"ACCESS2",4.8,"Health Insurance"
"3651000-36047004600",1199,"ACCESS2",6.6,"Health Insurance"
"3651000-36047004700",1445,"ACCESS2",8,"Health Insurance"
"3651000-36047004900",2516,"ACCESS2",6.9,"Health Insurance"
"3651000-36047005000",2276,"ACCESS2",5.6,"Health Insurance"
"3651000-36047005100",2171,"ACCESS2",7.5,"Health Insurance"
"3651000-36047005201",1829,"ACCESS2",9,"Health Insurance"
"3651000-36047005202",2481,"ACCESS2",6.8,"Health Insurance"
"3651000-36047005300",1888,"ACCESS2",12.4,"Health Insurance"
"3651000-36047005400",3139,"ACCESS2",8.4,"Health Insurance"
"3651000-36047005601",2505,"ACCESS2",7.4,"Health Insurance"
"3651000-36047005602",1586,"ACCESS2",7.2,"Health Insurance"
"3651000-36047005800",3152,"ACCESS2",10.4,"Health Insurance"
"3651000-36047005900",1384,"ACCESS2",11.5,"Health Insurance"
"3651000-36047006000",2826,"ACCESS2",11.1,"Health Insurance"
"3651000-36047006200",2853,"ACCESS2",9.4,"Health Insurance"
"3651000-36047006300",1892,"ACCESS2",6.3,"Health Insurance"
"3651000-36047006400",3478,"ACCESS2",10.2,"Health Insurance"
"3651000-36047006500",5191,"ACCESS2",5.8,"Health Insurance"
"3651000-36047006600",3663,"ACCESS2",9.8,"Health Insurance"
"3651000-36047006700",3301,"ACCESS2",5.2,"Health Insurance"
"3651000-36047006800",4870,"ACCESS2",15.3,"Health Insurance"
"3651000-36047006900",3537,"ACCESS2",5.6,"Health Insurance"
"3651000-36047007000",2344,"ACCESS2",11.6,"Health Insurance"
"3651000-36047007100",4495,"ACCESS2",17.7,"Health Insurance"
"3651000-36047007200",1946,"ACCESS2",29.6,"Health Insurance"
"3651000-36047007400",5451,"ACCESS2",29.3,"Health Insurance"
"3651000-36047007500",4383,"ACCESS2",5.5,"Health Insurance"
"3651000-36047007600",4412,"ACCESS2",27.7,"Health Insurance"
"3651000-36047007700",3901,"ACCESS2",6.9,"Health Insurance"
"3651000-36047007800",5068,"ACCESS2",28.4,"Health Insurance"
"3651000-36047008000",4169,"ACCESS2",22.9,"Health Insurance"
"3651000-36047008200",4141,"ACCESS2",25.7,"Health Insurance"
"3651000-36047008400",3299,"ACCESS2",25.7,"Health Insurance"
"3651000-36047008500",6956,"ACCESS2",27.7,"Health Insurance"
"3651000-36047008800",3207,"ACCESS2",18.8,"Health Insurance"
"3651000-36047009000",2994,"ACCESS2",25.6,"Health Insurance"
"3651000-36047009200",5388,"ACCESS2",25.1,"Health Insurance"
"3651000-36047009400",5805,"ACCESS2",21.9,"Health Insurance"
"3651000-36047009600",6126,"ACCESS2",28.5,"Health Insurance"
"3651000-36047009800",7024,"ACCESS2",33.5,"Health Insurance"
"3651000-36047010000",6737,"ACCESS2",28.5,"Health Insurance"
"3651000-36047010100",4093,"ACCESS2",20.5,"Health Insurance"
"3651000-36047010200",5622,"ACCESS2",25.1,"Health Insurance"
"3651000-36047010400",5908,"ACCESS2",22.7,"Health Insurance"
"3651000-36047010600",5851,"ACCESS2",23.7,"Health Insurance"
"3651000-36047010800",5280,"ACCESS2",22.4,"Health Insurance"
"3651000-36047011000",2441,"ACCESS2",23,"Health Insurance"
"3651000-36047011200",6436,"ACCESS2",23.1,"Health Insurance"
"3651000-36047011400",3976,"ACCESS2",18.7,"Health Insurance"
"3651000-36047011600",4816,"ACCESS2",22.8,"Health Insurance"
